Name:				52_Manual_n100_m300_bt10_2_135
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		60.54
Calculation_Time:		2.40
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		10
No_of_Items:			44
Customer_Sequence:		6 11 13 17 16 9 18 5 2 20 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
20	62	4	0	0	0	0	85	60	60	5.07	0		0.005000
20	61	3	0	0	60	0	36	41	60	1.50	0		0.005100
20	64	7	0	0	101	0	23	36	51	1.93	0		0.011700
20	63	6	0	0	137	0	25	33	39	3.68	0		0.022300
20	66	9	0	0	137	39	22	23	35	4.60	0		0.045500
20	65	8	0	0	0	60	38	20	28	3.19	1		0.004200
2	3	1	0	0	20	60	58	26	23	3.33	0		0.011000
2	4	1	0	0	46	60	58	26	23	3.33	0		0.011000
2	5	6	0	0	101	51	25	33	39	3.68	0		0.022300
2	7	9	0	0	72	60	22	23	35	4.60	0		0.045500
2	6	8	0	0	20	83	38	20	28	3.19	1		0.004200
5	13	4	0	25	101	0	85	60	60	5.07	0		0.005000
5	12	3	0	25	101	60	36	41	60	1.50	0		0.005100
5	15	7	1	0	40	83	23	36	51	1.93	0		0.011700
5	14	5	0	61	101	60	60	40	56	2.38	1		0.001000
18	54	4	0	85	0	0	85	60	60	5.07	0		0.005000
18	51	2	0	85	60	0	58	33	51	2.61	0		0.006800
18	52	2	0	85	60	51	58	33	51	2.61	0		0.006800
18	53	3	0	85	0	60	36	41	60	1.50	0		0.005100
18	55	7	1	0	40	134	23	36	51	1.93	0		0.011700
18	56	8	0	0	0	88	38	20	28	3.19	1		0.004200
9	25	4	0	143	60	0	85	60	60	5.07	0		0.005000
9	24	2	0	85	60	102	58	33	51	2.61	0		0.006800
9	26	9	0	61	141	60	22	23	35	4.60	0		0.045500
16	47	10	0	143	60	60	67	60	60	13.12	0		0.016300
16	44	2	0	121	120	0	58	33	51	2.61	0		0.006800
16	45	2	0	121	120	51	58	33	51	2.61	0		0.006800
16	46	3	0	85	0	120	36	41	60	1.50	0		0.005100
17	48	4	0	143	60	120	85	60	60	5.07	0		0.005000
17	49	7	0	121	0	60	23	36	51	1.93	0		0.011700
17	50	7	1	121	36	60	23	36	51	1.93	0		0.011700
13	37	3	0	121	120	102	36	41	60	1.50	0		0.005100
13	36	1	1	121	0	111	58	26	23	3.33	0		0.011000
13	39	6	0	121	0	134	25	33	39	3.68	0		0.022300
13	40	9	0	121	33	134	22	23	35	4.60	0		0.045500
13	38	5	0	170	0	0	60	40	56	2.38	1		0.001000
11	31	7	0	157	120	102	23	36	51	1.93	0		0.011700
11	30	5	0	170	0	56	60	40	56	2.38	1		0.001000
11	32	8	0	121	120	162	38	20	28	3.19	1		0.004200
6	18	4	0	228	60	0	85	60	60	5.07	0		0.005000
6	16	2	0	180	120	0	58	33	51	2.61	0		0.006800
6	17	2	0	180	120	51	58	33	51	2.61	0		0.006800
6	19	6	0	180	120	102	25	33	39	3.68	0		0.022300
6	20	9	0	180	120	141	22	23	35	4.60	0		0.045500


