Name:				41_Manual_n100_m200_bt10_1_207
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		52.79
Calculation_Time:		0.66
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		8
No_of_Items:			23
Customer_Sequence:		17 4 18 5 9 19 16 7 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
7	14	7	0	0	0	0	89	60	60	17.52	0		0.016400
7	15	7	0	0	60	0	89	60	60	17.52	0		0.016400
7	16	9	0	0	0	60	81	60	60	6.91	0		0.007100
7	13	1	0	0	120	0	41	51	54	1.70	0		0.004100
16	32	4	0	0	60	60	107	60	60	8.21	0		0.006400
16	33	7	0	0	0	120	89	60	60	17.52	0		0.016400
19	42	7	0	0	60	120	89	60	60	17.52	0		0.016400
19	41	6	1	41	120	0	30	60	43	3.96	0		0.011000
9	20	7	0	89	0	0	89	60	60	17.52	0		0.016400
9	21	10	0	0	120	54	54	23	48	3.17	0		0.012800
9	22	10	0	0	143	54	54	23	48	3.17	0		0.012800
9	19	3	0	54	120	43	28	25	57	1.57	0		0.011200
5	10	1	1	0	120	102	41	51	54	1.70	0		0.004100
18	40	8	0	89	0	60	60	60	60	20.52	0		0.028500
18	37	1	0	89	0	120	41	51	54	1.70	0		0.004100
18	39	6	1	101	120	0	30	60	43	3.96	0		0.011000
18	38	3	0	54	120	100	28	25	57	1.57	0		0.011200
4	8	8	0	161	60	0	60	60	60	20.52	0		0.028500
4	9	8	0	161	60	60	60	60	60	20.52	0		0.028500
4	7	5	1	82	120	43	28	53	24	3.16	0		0.010600
17	35	7	0	178	0	0	89	60	60	17.52	0		0.016400
17	34	1	0	161	120	0	41	51	54	1.70	0		0.004100
17	36	10	0	54	150	0	54	23	48	3.17	0		0.012800


