Name:				41_Manual_n100_m200_bt10_1_340
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		52.91
Calculation_Time:		0.73
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		9
No_of_Items:			22
Customer_Sequence:		4 7 14 13 6 16 9 8 11 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
11	25	1	0	0	0	0	41	51	54	1.70	0		0.004100
8	17	1	0	0	51	0	41	51	54	1.70	0		0.004100
8	18	3	0	0	102	0	28	25	57	1.57	0		0.011200
9	20	7	0	28	102	0	89	60	60	17.52	0		0.016400
9	21	10	0	0	0	54	54	23	48	3.17	0		0.012800
9	22	10	0	0	23	54	54	23	48	3.17	0		0.012800
9	19	3	0	0	127	0	28	25	57	1.57	0		0.011200
16	32	4	0	28	102	60	107	60	60	8.21	0		0.006400
16	33	7	0	28	102	120	89	60	60	17.52	0		0.016400
6	12	9	0	54	0	0	81	60	60	6.91	0		0.007100
6	11	8	0	54	0	60	60	60	60	20.52	0		0.028500
13	27	9	0	135	0	0	81	60	60	6.91	0		0.007100
14	30	4	0	114	0	60	107	60	60	8.21	0		0.006400
14	29	3	0	41	60	0	28	25	57	1.57	0		0.011200
14	28	2	1	69	60	0	35	49	26	2.74	1		0.001600
7	14	7	0	114	0	120	89	60	60	17.52	0		0.016400
7	15	7	0	135	60	0	89	60	60	17.52	0		0.016400
7	16	9	0	135	60	60	81	60	60	6.91	0		0.007100
7	13	1	0	135	120	0	41	51	54	1.70	0		0.004100
4	8	8	0	117	60	120	60	60	60	20.52	0		0.028500
4	9	8	0	221	0	0	60	60	60	20.52	0		0.028500
4	7	5	0	135	120	54	28	53	24	3.16	0		0.010600


