Name:				21_Manual_n50_m300_bt10_1_217
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		56.30
Calculation_Time:		3.93
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		8
No_of_Items:			49
Customer_Sequence:		22 7 3 13 14 12 16 5 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
5	19	1	0	0	0	0	57	31	42	2.45	0		0.006900
5	20	9	0	0	31	0	60	45	51	2.94	1		0.001100
5	21	9	0	0	76	0	60	45	51	2.94	1		0.001100
16	72	3	0	0	121	0	55	48	55	3.29	0		0.006200
16	73	6	0	0	121	55	48	41	57	1.32	0		0.003400
16	74	6	0	0	121	112	48	41	57	1.32	0		0.003400
16	77	10	0	0	0	42	40	30	57	2.99	0		0.012500
16	71	2	0	0	0	99	51	22	27	1.66	0		0.007400
16	75	7	0	55	121	0	37	31	25	2.68	0		0.011700
16	76	9	0	0	31	51	60	45	51	2.94	1		0.001100
12	49	3	0	60	0	0	55	48	55	3.29	0		0.006200
12	47	1	0	60	48	0	57	31	42	2.45	0		0.006900
12	48	1	0	60	79	0	57	31	42	2.45	0		0.006900
12	52	8	0	60	48	42	49	47	31	4.57	0		0.009900
12	53	8	0	60	0	55	49	47	31	4.57	0		0.009900
12	54	10	0	55	121	25	40	30	57	2.99	0		0.012500
12	50	4	1	0	0	126	20	39	51	4.16	0		0.026600
12	51	7	0	55	121	82	37	31	25	2.68	0		0.011700
14	64	6	0	60	48	73	48	41	57	1.32	0		0.003400
14	62	2	0	55	152	0	51	22	27	1.66	0		0.007400
14	63	2	0	55	152	27	51	22	27	1.66	0		0.007400
14	65	7	0	55	121	107	37	31	25	2.68	0		0.011700
14	66	9	0	60	0	86	60	45	51	2.94	1		0.001100
14	67	9	0	60	0	137	60	45	51	2.94	1		0.001100
13	57	8	0	60	48	130	49	47	31	4.57	0		0.009900
13	58	8	0	106	110	0	49	47	31	4.57	0		0.009900
13	59	8	0	106	110	31	49	47	31	4.57	0		0.009900
13	60	8	0	106	110	62	49	47	31	4.57	0		0.009900
13	55	4	1	55	152	54	20	39	51	4.16	0		0.026600
13	56	7	0	55	121	132	37	31	25	2.68	0		0.011700
13	61	9	0	106	110	93	60	45	51	2.94	1		0.001100
3	10	1	0	117	48	0	57	31	42	2.45	0		0.006900
3	14	10	0	109	48	42	40	30	57	2.99	0		0.012500
3	11	2	0	60	48	161	51	22	27	1.66	0		0.007400
3	12	2	0	48	70	161	51	22	27	1.66	0		0.007400
3	13	2	0	109	48	99	51	22	27	1.66	0		0.007400
7	26	6	0	120	0	0	48	41	57	1.32	0		0.003400
7	25	5	1	117	79	0	31	45	52	4.08	0		0.014600
7	28	10	0	109	78	52	40	30	57	2.99	0		0.012500
7	27	9	0	168	0	0	60	45	51	2.94	1		0.001100
22	105	3	0	174	48	0	55	48	55	3.29	0		0.006200
22	106	6	0	166	96	0	48	41	57	1.32	0		0.003400
22	107	6	0	166	96	57	48	41	57	1.32	0		0.003400
22	109	8	0	166	96	114	49	47	31	4.57	0		0.009900
22	108	7	0	109	78	109	37	31	25	2.68	0		0.011700
22	110	9	0	168	0	51	60	45	51	2.94	1		0.001100
22	111	9	0	168	0	102	60	45	51	2.94	1		0.001100
22	112	9	0	174	48	55	60	45	51	2.94	1		0.001100
22	113	9	0	174	48	106	60	45	51	2.94	1		0.001100


