Name:				21_Manual_n50_m300_bt10_1_469
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		44.30
Calculation_Time:		4.51
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		8
No_of_Items:			50
Customer_Sequence:		2 13 12 7 22 10 16 18 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
18	83	3	0	0	0	0	55	48	55	3.29	0		0.006200
18	82	1	0	0	48	0	57	31	42	2.45	0		0.006900
18	87	8	0	0	79	0	49	47	31	4.57	0		0.009900
18	84	4	0	0	126	0	20	39	51	4.16	0		0.026600
18	85	4	0	0	79	31	20	39	51	4.16	0		0.026600
18	86	7	0	0	48	42	37	31	25	2.68	0		0.011700
16	72	3	0	0	0	55	55	48	55	3.29	0		0.006200
16	73	6	0	0	0	110	48	41	57	1.32	0		0.003400
16	74	6	0	20	126	0	48	41	57	1.32	0		0.003400
16	77	10	0	0	48	67	40	30	57	2.99	0		0.012500
16	71	2	0	0	48	124	51	22	27	1.66	0		0.007400
16	75	7	0	20	79	31	37	31	25	2.68	0		0.011700
16	76	9	0	55	0	0	60	45	51	2.94	1		0.001100
10	39	3	0	57	48	0	55	48	55	3.29	0		0.006200
10	42	8	0	20	126	57	49	47	31	4.57	0		0.009900
10	40	7	0	20	79	56	37	31	25	2.68	0		0.011700
10	41	7	0	20	78	81	37	31	25	2.68	0		0.011700
22	105	3	0	20	126	88	55	48	55	3.29	0		0.006200
22	106	6	0	57	48	55	48	41	57	1.32	0		0.003400
22	107	6	0	57	48	112	48	41	57	1.32	0		0.003400
22	109	8	0	20	126	143	49	47	31	4.57	0		0.009900
22	108	7	0	69	96	0	37	31	25	2.68	0		0.011700
22	110	9	0	55	0	51	60	45	51	2.94	1		0.001100
22	111	9	0	55	0	102	60	45	51	2.94	1		0.001100
22	112	9	0	69	127	0	60	45	51	2.94	1		0.001100
22	113	9	0	112	45	0	60	45	51	2.94	1		0.001100
7	26	6	0	115	0	0	48	41	57	1.32	0		0.003400
7	25	5	1	106	96	0	31	45	52	4.08	0		0.014600
7	28	10	0	106	96	52	40	30	57	2.99	0		0.012500
7	27	9	0	112	45	51	60	45	51	2.94	1		0.001100
12	49	3	0	151	90	0	55	48	55	3.29	0		0.006200
12	47	1	0	115	0	57	57	31	42	2.45	0		0.006900
12	48	1	0	115	0	99	57	31	42	2.45	0		0.006900
12	52	8	0	146	90	55	49	47	31	4.57	0		0.009900
12	53	8	0	146	90	86	49	47	31	4.57	0		0.009900
12	54	10	0	106	96	109	40	30	57	2.99	0		0.012500
12	50	4	0	129	127	0	20	39	51	4.16	0		0.026600
12	51	7	0	115	0	141	37	31	25	2.68	0		0.011700
13	57	8	0	146	90	117	49	47	31	4.57	0		0.009900
13	58	8	0	146	90	148	49	47	31	4.57	0		0.009900
13	59	8	0	172	0	0	49	47	31	4.57	0		0.009900
13	60	8	0	172	0	31	49	47	31	4.57	0		0.009900
13	55	4	1	151	138	0	20	39	51	4.16	0		0.026600
13	56	7	0	172	47	0	37	31	25	2.68	0		0.011700
13	61	9	0	105	45	102	60	45	51	2.94	1		0.001100
2	5	3	0	172	0	62	55	48	55	3.29	0		0.006200
2	7	6	0	172	0	117	48	41	57	1.32	0		0.003400
2	6	5	1	190	138	0	31	45	52	4.08	0		0.014600
2	8	7	0	172	47	25	37	31	25	2.68	0		0.011700
2	9	7	0	190	138	52	37	31	25	2.68	0		0.011700


