Name:				48_Manual_n100_m200_bt100_3_474
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		38.32
Calculation_Time:		1.12
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		10
No_of_Items:			25
Customer_Sequence:		5 1 17 16 3 15 4 7 19 12 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
12	18	7	0	0	0	0	97	60	60	13.45	0		0.011600
12	19	40	0	0	60	0	50	30	41	2.38	0		0.007900
19	36	9	0	0	90	0	95	60	60	12.85	0		0.011300
19	37	40	0	0	60	41	50	30	41	2.38	0		0.007900
19	38	72	1	0	0	60	27	56	24	4.48	0		0.014800
7	10	7	0	0	90	60	97	60	60	13.45	0		0.011600
7	11	81	0	0	90	120	51	37	44	3.36	0		0.008900
4	5	3	0	97	0	0	109	60	60	15.27	0		0.011700
15	23	3	0	56	0	60	109	60	60	15.27	0		0.011700
15	26	70	0	51	90	120	37	58	42	3.75	0		0.008700
15	25	25	0	97	60	0	35	31	39	4.79	0		0.022100
15	24	10	0	0	60	82	28	29	52	2.77	1		0.003400
3	4	49	0	56	0	120	116	60	60	21.44	0		0.015400
3	3	37	0	95	60	39	42	29	53	2.64	0		0.010800
16	27	9	0	97	91	0	95	60	60	12.85	0		0.011300
16	28	26	0	97	89	60	53	32	35	1.78	0		0.005200
16	29	57	0	51	90	162	45	47	23	3.51	0		0.008300
17	30	73	1	150	89	60	54	53	50	1.23	0		0.002200
17	33	99	0	0	151	0	35	21	46	3.17	0		0.021600
17	31	75	0	203	60	0	93	60	60	6.18	1		0.001100
17	32	76	1	97	121	60	34	48	45	4.72	1		0.002900
1	1	38	0	206	0	0	102	60	60	9.59	0		0.007800
5	7	37	0	203	120	0	42	29	53	2.64	0		0.010800
5	6	24	0	203	120	53	27	31	23	4.71	0		0.028100
5	8	97	0	192	149	0	33	24	21	3.08	0		0.019400


