Name:				41_Manual_n100_m200_bt10_1_958
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		55.62
Calculation_Time:		0.92
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		10
No_of_Items:			27
Customer_Sequence:		16 4 19 11 14 9 18 6 7 8 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
8	17	1	0	0	0	0	41	51	54	1.70	0		0.004100
8	18	3	0	0	51	0	28	25	57	1.57	0		0.011200
7	14	7	0	0	76	0	89	60	60	17.52	0		0.016400
7	15	7	0	0	76	60	89	60	60	17.52	0		0.016400
7	16	9	0	0	76	120	81	60	60	6.91	0		0.007100
7	13	1	0	0	0	54	41	51	54	1.70	0		0.004100
6	12	9	0	41	0	0	81	60	60	6.91	0		0.007100
6	11	8	0	41	0	60	60	60	60	20.52	0		0.028500
18	40	8	0	41	0	120	60	60	60	20.52	0		0.028500
18	37	1	0	89	76	0	41	51	54	1.70	0		0.004100
18	39	6	1	0	136	0	30	60	43	3.96	0		0.011000
18	38	3	0	0	136	43	28	25	57	1.57	0		0.011200
9	20	7	0	122	0	0	89	60	60	17.52	0		0.016400
9	21	10	0	60	136	0	54	23	48	3.17	0		0.012800
9	22	10	0	60	136	48	54	23	48	3.17	0		0.012800
9	19	3	0	0	136	100	28	25	57	1.57	0		0.011200
14	30	4	0	101	0	60	107	60	60	8.21	0		0.006400
14	29	3	0	60	136	96	28	25	57	1.57	0		0.011200
14	28	2	0	89	76	54	35	49	26	2.74	1		0.001600
11	25	1	1	114	127	0	41	51	54	1.70	0		0.004100
19	42	7	0	101	0	120	89	60	60	17.52	0		0.016400
19	41	6	1	114	125	54	30	60	43	3.96	0		0.011000
4	8	8	0	165	60	0	60	60	60	20.52	0		0.028500
4	9	8	0	165	60	60	60	60	60	20.52	0		0.028500
4	7	5	1	114	125	97	28	53	24	3.16	0		0.010600
16	32	4	1	225	0	0	107	60	60	8.21	0		0.006400
16	33	7	1	225	0	60	89	60	60	17.52	0		0.016400


