Name:				21_Manual_n50_m300_bt10_1_674
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		50.95
Calculation_Time:		4.15
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		9
No_of_Items:			56
Customer_Sequence:		11 13 12 22 16 19 8 14 4 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
4	16	3	0	0	0	0	55	48	55	3.29	0		0.006200
4	15	1	0	0	48	0	57	31	42	2.45	0		0.006900
4	17	8	0	0	79	0	49	47	31	4.57	0		0.009900
4	18	8	0	0	126	0	49	47	31	4.57	0		0.009900
14	64	6	0	0	79	31	48	41	57	1.32	0		0.003400
14	62	2	0	0	120	31	51	22	27	1.66	0		0.007400
14	63	2	0	0	142	31	51	22	27	1.66	0		0.007400
14	65	7	0	0	48	42	37	31	25	2.68	0		0.011700
14	66	9	0	0	0	55	60	45	51	2.94	1		0.001100
14	67	9	0	0	120	58	60	45	51	2.94	1		0.001100
8	30	8	0	57	48	0	49	47	31	4.57	0		0.009900
8	31	8	0	57	45	31	49	47	31	4.57	0		0.009900
8	33	10	0	0	48	67	40	30	57	2.99	0		0.012500
8	34	10	0	0	79	88	40	30	57	2.99	0		0.012500
8	29	4	1	0	48	124	20	39	51	4.16	0		0.026600
8	32	9	0	0	0	106	60	45	51	2.94	1		0.001100
19	91	3	0	48	45	62	55	48	55	3.29	0		0.006200
19	88	2	0	40	45	117	51	22	27	1.66	0		0.007400
19	89	2	0	39	45	144	51	22	27	1.66	0		0.007400
19	90	2	0	40	67	117	51	22	27	1.66	0		0.007400
19	92	9	0	0	120	109	60	45	51	2.94	1		0.001100
16	72	3	0	60	95	0	55	48	55	3.29	0		0.006200
16	73	6	0	60	0	0	48	41	57	1.32	0		0.003400
16	74	6	0	60	95	55	48	41	57	1.32	0		0.003400
16	77	10	0	60	143	0	40	30	57	2.99	0		0.012500
16	71	2	0	40	67	144	51	22	27	1.66	0		0.007400
16	75	7	0	60	0	57	37	31	25	2.68	0		0.011700
16	76	9	0	106	48	0	60	45	51	2.94	1		0.001100
22	105	3	0	108	0	0	55	48	55	3.29	0		0.006200
22	106	6	0	60	93	112	48	41	57	1.32	0		0.003400
22	107	6	0	108	0	55	48	41	57	1.32	0		0.003400
22	109	8	0	115	95	0	49	47	31	4.57	0		0.009900
22	108	7	0	60	143	57	37	31	25	2.68	0		0.011700
22	110	9	0	106	48	51	60	45	51	2.94	1		0.001100
22	111	9	0	103	41	102	60	45	51	2.94	1		0.001100
22	112	9	0	115	93	31	60	45	51	2.94	1		0.001100
22	113	9	0	108	93	82	60	45	51	2.94	1		0.001100
12	49	3	0	163	0	0	55	48	55	3.29	0		0.006200
12	47	1	0	100	143	0	57	31	42	2.45	0		0.006900
12	48	1	0	100	143	42	57	31	42	2.45	0		0.006900
12	52	8	0	163	0	55	49	47	31	4.57	0		0.009900
12	53	8	0	163	0	86	49	47	31	4.57	0		0.009900
12	54	10	0	60	143	82	40	30	57	2.99	0		0.012500
12	50	4	1	60	143	139	20	39	51	4.16	0		0.026600
12	51	7	0	100	143	84	37	31	25	2.68	0		0.011700
13	57	8	0	163	0	117	49	47	31	4.57	0		0.009900
13	58	8	0	163	0	148	49	47	31	4.57	0		0.009900
13	59	8	0	218	0	0	49	47	31	4.57	0		0.009900
13	60	8	0	218	47	0	49	47	31	4.57	0		0.009900
13	55	4	1	100	143	109	20	39	51	4.16	0		0.026600
13	56	7	0	157	142	0	37	31	25	2.68	0		0.011700
13	61	9	0	108	86	133	60	45	51	2.94	1		0.001100
11	44	6	0	175	94	0	48	41	57	1.32	0		0.003400
11	43	4	1	157	142	25	20	39	51	4.16	0		0.026600
11	45	7	0	175	94	57	37	31	25	2.68	0		0.011700
11	46	9	0	218	0	31	60	45	51	2.94	1		0.001100


