Name:				107_Manual_n200_m300_bt100_2_575
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		55.10
Calculation_Time:		0.67
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		10
No_of_Items:			20
Customer_Sequence:		17 16 6 9 8 13 7 5 12 4 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
4	5	64	0	0	0	0	111	60	60	2.83	0		0.002100
12	19	5	0	0	60	0	53	40	59	1.92	0		0.004500
5	7	64	0	0	100	0	111	60	60	2.83	0		0.002100
5	8	75	0	0	0	60	88	60	60	17.94	0		0.017000
5	6	2	0	111	0	0	59	49	39	1.92	0		0.003300
7	11	59	0	0	100	60	116	60	60	16.41	0		0.011800
13	20	27	0	0	100	120	112	60	60	6.33	0		0.004700
13	21	48	0	116	49	0	103	60	60	19.40	0		0.015700
13	22	54	1	0	60	59	32	43	20	1.44	0		0.005200
8	12	35	0	116	109	0	99	60	60	13.12	0		0.011000
8	13	53	0	111	0	39	38	36	25	1.49	0		0.005400
9	14	3	0	116	49	60	88	60	60	7.61	0		0.007200
9	15	4	0	116	109	60	87	60	60	12.65	0		0.012100
6	9	3	0	112	100	120	88	60	60	7.61	0		0.007200
6	10	13	0	111	0	64	31	33	45	3.82	0		0.018700
16	26	73	0	215	109	0	85	60	60	13.96	0		0.013700
17	30	72	0	203	109	60	62	60	60	15.90	0		0.021400
17	28	22	0	111	0	109	33	37	53	1.67	0		0.006900
17	27	11	0	170	0	0	30	41	49	1.24	0		0.005100
17	29	42	1	200	0	0	25	51	45	4.43	0		0.017400


