Name:				41_Manual_n100_m200_bt10_1_830
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		45.15
Calculation_Time:		0.76
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		10
No_of_Items:			25
Customer_Sequence:		12 17 6 18 16 13 15 14 7 9 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
9	20	7	0	0	0	0	89	60	60	17.52	0		0.016400
9	21	10	0	0	60	0	54	23	48	3.17	0		0.012800
9	22	10	0	0	83	0	54	23	48	3.17	0		0.012800
9	19	3	0	0	106	0	28	25	57	1.57	0		0.011200
7	14	7	0	0	0	60	89	60	60	17.52	0		0.016400
7	15	7	0	0	0	120	89	60	60	17.52	0		0.016400
7	16	9	0	28	106	0	81	60	60	6.91	0		0.007100
7	13	1	1	0	60	48	41	51	54	1.70	0		0.004100
14	30	4	0	28	106	60	107	60	60	8.21	0		0.006400
14	29	3	0	0	60	102	28	25	57	1.57	0		0.011200
14	28	2	1	54	60	0	35	49	26	2.74	1		0.001600
15	31	6	1	28	106	120	30	60	43	3.96	0		0.011000
13	27	9	0	89	0	0	81	60	60	6.91	0		0.007100
16	32	4	0	89	0	60	107	60	60	8.21	0		0.006400
16	33	7	0	89	0	120	89	60	60	17.52	0		0.016400
18	40	8	0	88	106	120	60	60	60	20.52	0		0.028500
18	37	1	1	103	60	0	41	51	54	1.70	0		0.004100
18	39	6	1	28	136	120	30	60	43	3.96	0		0.011000
18	38	3	0	28	60	102	28	25	57	1.57	0		0.011200
6	12	9	0	154	60	0	81	60	60	6.91	0		0.007100
6	11	8	0	154	60	60	60	60	60	20.52	0		0.028500
17	35	7	0	196	0	0	89	60	60	17.52	0		0.016400
17	34	1	0	148	120	0	41	51	54	1.70	0		0.004100
17	36	10	0	148	120	54	54	23	48	3.17	0		0.012800
12	26	9	0	196	0	60	81	60	60	6.91	0		0.007100


