Name:				21_Manual_n50_m300_bt10_1_684
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		59.36
Calculation_Time:		4.03
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		9
No_of_Items:			56
Customer_Sequence:		7 22 16 12 14 13 19 8 17 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
12	49	3	0	0	0	0	55	48	55	3.29	0		0.006200
22	105	3	0	0	48	0	55	48	55	3.29	0		0.006200
16	72	3	0	0	96	0	55	48	55	3.29	0		0.006200
19	91	3	0	0	0	55	55	48	55	3.29	0		0.006200
14	64	6	0	0	48	55	48	41	57	1.32	0		0.003400
7	26	6	0	0	89	55	48	41	57	1.32	0		0.003400
22	106	6	0	0	0	110	48	41	57	1.32	0		0.003400
22	107	6	0	0	48	112	48	41	57	1.32	0		0.003400
16	74	6	0	0	89	112	48	41	57	1.32	0		0.003400
16	73	6	0	55	0	0	48	41	57	1.32	0		0.003400
17	78	1	0	55	41	0	57	31	42	2.45	0		0.006900
12	48	1	0	55	72	0	57	31	42	2.45	0		0.006900
12	47	1	0	55	103	0	57	31	42	2.45	0		0.006900
7	25	5	1	55	134	0	31	45	52	4.08	0		0.014600
22	109	8	0	55	41	42	49	47	31	4.57	0		0.009900
17	80	8	0	55	41	73	49	47	31	4.57	0		0.009900
17	81	8	0	55	41	104	49	47	31	4.57	0		0.009900
8	31	8	0	55	41	135	49	47	31	4.57	0		0.009900
13	57	8	0	112	0	0	49	47	31	4.57	0		0.009900
13	58	8	0	112	47	0	49	47	31	4.57	0		0.009900
13	59	8	0	112	94	0	49	47	31	4.57	0		0.009900
13	60	8	0	112	0	31	49	47	31	4.57	0		0.009900
8	30	8	0	104	0	62	49	47	31	4.57	0		0.009900
12	52	8	0	104	0	93	49	47	31	4.57	0		0.009900
12	53	8	0	104	0	124	49	47	31	4.57	0		0.009900
7	28	10	0	0	144	0	40	30	57	2.99	0		0.012500
16	77	10	0	0	144	57	40	30	57	2.99	0		0.012500
8	34	10	0	0	144	114	40	30	57	2.99	0		0.012500
8	33	10	0	55	88	42	40	30	57	2.99	0		0.012500
12	54	10	0	100	141	0	40	30	57	2.99	0		0.012500
12	50	4	0	95	88	42	20	39	51	4.16	0		0.026600
13	55	4	1	48	88	99	20	39	51	4.16	0		0.026600
8	29	4	0	55	134	52	20	39	51	4.16	0		0.026600
17	79	2	0	100	141	57	51	22	27	1.66	0		0.007400
14	62	2	0	100	141	84	51	22	27	1.66	0		0.007400
14	63	2	0	100	141	111	51	22	27	1.66	0		0.007400
16	71	2	0	100	141	138	51	22	27	1.66	0		0.007400
19	90	2	0	104	0	155	51	22	27	1.66	0		0.007400
19	89	2	0	104	22	155	51	22	27	1.66	0		0.007400
19	88	2	0	112	47	31	51	22	27	1.66	0		0.007400
14	65	7	0	151	141	0	37	31	25	2.68	0		0.011700
12	51	7	0	151	141	25	37	31	25	2.68	0		0.011700
13	56	7	0	151	141	50	37	31	25	2.68	0		0.011700
16	75	7	0	151	141	75	37	31	25	2.68	0		0.011700
22	108	7	0	151	141	100	37	31	25	2.68	0		0.011700
13	61	9	0	161	0	0	60	45	51	2.94	1		0.001100
14	67	9	0	161	94	0	60	45	51	2.94	1		0.001100
8	32	9	0	161	0	51	60	45	51	2.94	1		0.001100
16	76	9	0	153	0	102	60	45	51	2.94	1		0.001100
22	111	9	0	161	94	51	60	45	51	2.94	1		0.001100
22	112	9	0	161	94	102	60	45	51	2.94	1		0.001100
22	113	9	0	221	0	0	60	45	51	2.94	1		0.001100
19	92	9	0	221	45	0	60	45	51	2.94	1		0.001100
14	66	9	0	221	90	0	60	45	51	2.94	1		0.001100
7	27	9	0	221	0	51	60	45	51	2.94	1		0.001100
22	110	9	0	213	0	102	60	45	51	2.94	1		0.001100


