Name:				41_Manual_n100_m200_bt10_1_727
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		53.18
Calculation_Time:		0.81
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		10
No_of_Items:			27
Customer_Sequence:		10 17 6 7 16 12 9 14 2 18 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
18	40	8	0	0	0	0	60	60	60	20.52	0		0.028500
18	37	1	0	0	60	0	41	51	54	1.70	0		0.004100
18	39	6	0	0	111	0	30	60	43	3.96	0		0.011000
18	38	3	0	0	111	43	28	25	57	1.57	0		0.011200
2	4	6	0	0	0	60	30	60	43	3.96	0		0.011000
2	3	2	0	0	60	54	35	49	26	2.74	1		0.001600
14	30	4	0	30	111	0	107	60	60	8.21	0		0.006400
14	29	3	0	0	136	43	28	25	57	1.57	0		0.011200
14	28	2	0	0	60	80	35	49	26	2.74	1		0.001600
9	20	7	0	28	109	60	89	60	60	17.52	0		0.016400
9	21	10	1	0	0	103	54	23	48	3.17	0		0.012800
9	22	10	1	30	0	60	54	23	48	3.17	0		0.012800
9	19	3	0	23	0	108	28	25	57	1.57	0		0.011200
12	26	9	0	28	109	120	81	60	60	6.91	0		0.007100
16	32	4	0	60	0	0	107	60	60	8.21	0		0.006400
16	33	7	0	53	0	60	89	60	60	17.52	0		0.016400
7	14	7	0	51	0	120	89	60	60	17.52	0		0.016400
7	15	7	0	137	111	0	89	60	60	17.52	0		0.016400
7	16	9	0	117	109	60	81	60	60	6.91	0		0.007100
7	13	1	1	41	60	0	41	51	54	1.70	0		0.004100
6	12	9	0	109	109	120	81	60	60	6.91	0		0.007100
6	11	8	0	167	0	0	60	60	60	20.52	0		0.028500
17	35	7	0	142	0	60	89	60	60	17.52	0		0.016400
17	34	1	1	35	60	54	41	51	54	1.70	0		0.004100
17	36	10	0	35	60	108	54	23	48	3.17	0		0.012800
10	23	1	1	92	60	0	41	51	54	1.70	0		0.004100
10	24	3	0	89	60	54	28	25	57	1.57	0		0.011200


