Name:				44_Manual_n100_m200_bt10_4_1408
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		45.57
Calculation_Time:		0.70
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		10
No_of_Items:			26
Customer_Sequence:		9 10 12 16 8 11 7 5 21 4 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
4	5	3	0	0	0	0	50	33	50	4.19	0		0.012700
4	6	9	0	0	33	0	115	60	60	1.64	1		0.000200
21	43	4	0	0	93	0	109	60	60	10.53	0		0.008000
21	44	5	0	0	93	60	60	55	48	3.14	0		0.004800
5	8	6	0	109	93	0	114	60	60	18.95	0		0.013900
5	7	3	0	0	0	50	50	33	50	4.19	0		0.012700
5	9	8	0	0	0	100	31	24	36	1.90	0		0.012800
5	10	9	0	0	33	60	115	60	60	1.64	1		0.000200
7	13	5	0	115	0	0	60	55	48	3.14	0		0.004800
7	12	1	0	115	55	0	43	37	28	4.88	0		0.015300
7	14	8	0	0	0	136	31	24	36	1.90	0		0.012800
11	23	9	0	60	93	60	115	60	60	1.64	1		0.000200
8	17	10	0	175	0	0	97	60	60	10.23	0		0.008800
8	15	9	0	60	93	120	115	60	60	1.64	1		0.000200
8	16	9	0	175	0	60	115	60	60	1.64	1		0.000200
16	35	5	0	175	93	60	60	55	48	3.14	0		0.004800
16	34	1	0	175	93	108	43	37	28	4.88	0		0.015300
12	25	5	0	235	60	0	60	55	48	3.14	0		0.004800
12	24	1	0	175	93	136	43	37	28	4.88	0		0.015300
12	26	8	0	175	130	108	31	24	36	1.90	0		0.012800
12	27	9	0	175	0	120	115	60	60	1.64	1		0.000200
10	22	7	1	223	60	48	29	56	29	1.51	0		0.004600
9	18	5	0	235	115	0	60	55	48	3.14	0		0.004800
9	19	5	0	235	115	48	60	55	48	3.14	0		0.004800
9	20	5	0	235	115	96	60	55	48	3.14	0		0.004800
9	21	8	0	175	130	144	31	24	36	1.90	0		0.012800


