Name:				44_Manual_n100_m200_bt10_4_1399
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		56.11
Calculation_Time:		0.60
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		10
No_of_Items:			27
Customer_Sequence:		8 4 9 12 2 14 21 13 5 15 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
15	32	3	0	0	0	0	50	33	50	4.19	0		0.012700
15	33	8	0	0	33	0	31	24	36	1.90	0		0.012800
5	8	6	0	0	57	0	114	60	60	18.95	0		0.013900
5	7	3	0	0	117	0	50	33	50	4.19	0		0.012700
5	9	8	0	0	150	0	31	24	36	1.90	0		0.012800
5	10	9	0	0	57	60	115	60	60	1.64	1		0.000200
13	29	5	0	50	0	0	60	55	48	3.14	0		0.004800
13	28	3	0	0	0	50	50	33	50	4.19	0		0.012700
21	43	4	0	115	0	0	109	60	60	10.53	0		0.008000
21	44	5	0	50	117	0	60	55	48	3.14	0		0.004800
14	30	4	0	115	60	0	109	60	60	10.53	0		0.008000
14	31	8	0	50	117	48	31	24	36	1.90	0		0.012800
2	2	3	0	50	141	48	50	33	50	4.19	0		0.012700
2	3	7	1	50	141	98	29	56	29	1.51	0		0.004600
12	25	5	0	115	0	60	60	55	48	3.14	0		0.004800
12	24	1	0	110	120	0	43	37	28	4.88	0		0.015300
12	26	8	0	50	141	127	31	24	36	1.90	0		0.012800
12	27	9	0	115	55	60	115	60	60	1.64	1		0.000200
9	18	5	0	115	0	108	60	55	48	3.14	0		0.004800
9	19	5	0	175	0	60	60	55	48	3.14	0		0.004800
9	20	5	0	175	0	108	60	55	48	3.14	0		0.004800
9	21	8	0	81	141	127	31	24	36	1.90	0		0.012800
4	5	3	0	112	120	28	50	33	50	4.19	0		0.012700
4	6	9	0	115	55	120	115	60	60	1.64	1		0.000200
8	17	10	1	230	55	0	97	60	60	10.23	0		0.008800
8	15	9	1	230	55	60	115	60	60	1.64	1		0.000200
8	16	9	1	230	55	120	115	60	60	1.64	1		0.000200


