Name:				44_Manual_n100_m200_bt10_4_1001
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		53.89
Calculation_Time:		0.51
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		9
No_of_Items:			24
Customer_Sequence:		17 8 7 14 11 4 9 12 5 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
5	8	6	0	0	0	0	114	60	60	18.95	0		0.013900
5	7	3	0	0	60	0	50	33	50	4.19	0		0.012700
5	9	8	0	0	93	0	31	24	36	1.90	0		0.012800
5	10	9	0	0	0	60	115	60	60	1.64	1		0.000200
12	25	5	0	0	117	0	60	55	48	3.14	0		0.004800
12	24	1	0	0	117	48	43	37	28	4.88	0		0.015300
12	26	8	0	0	93	36	31	24	36	1.90	0		0.012800
12	27	9	0	0	0	120	115	60	60	1.64	1		0.000200
9	18	5	0	50	60	0	60	55	48	3.14	0		0.004800
9	19	5	0	50	60	48	60	55	48	3.14	0		0.004800
9	20	5	0	50	60	96	60	55	48	3.14	0		0.004800
9	21	8	0	0	60	50	31	24	36	1.90	0		0.012800
4	5	3	0	0	117	76	50	33	50	4.19	0		0.012700
4	6	9	0	110	60	0	115	60	60	1.64	1		0.000200
11	23	9	0	110	60	60	115	60	60	1.64	1		0.000200
14	30	4	0	115	0	0	109	60	60	10.53	0		0.008000
14	31	8	0	60	120	0	31	24	36	1.90	0		0.012800
7	13	5	0	115	0	60	60	55	48	3.14	0		0.004800
7	12	1	0	91	120	0	43	37	28	4.88	0		0.015300
7	14	8	0	60	144	0	31	24	36	1.90	0		0.012800
8	17	10	1	225	0	0	97	60	60	10.23	0		0.008800
8	15	9	0	110	60	120	115	60	60	1.64	1		0.000200
8	16	9	0	175	0	60	115	60	60	1.64	1		0.000200
17	36	9	0	175	0	120	115	60	60	1.64	1		0.000200


