Name:				096_n060_m200_bt10_9744
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		78.87
Calculation_Time:		0.08
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		2
No_of_Items:			9
Customer_Sequence:		11 52 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
52	168	1	0	0	0	0	35	7	10	406.37	0		5.198415
52	169	6	0	0	7	0	15	13	12	1271.21	0		66.603052
52	170	7	0	0	7	12	17	8	14	203.60	1		3.592528
52	171	7	0	17	7	0	17	8	14	203.60	1		3.592528
11	31	1	0	0	0	10	35	7	10	406.37	0		5.198415
11	32	2	0	34	7	0	13	11	14	1015.80	0		35.041566
11	33	4	0	34	7	14	12	11	8	355.65	0		16.707350
11	34	4	0	34	7	22	12	11	8	355.65	0		16.707350
11	35	9	0	0	20	0	20	5	7	264.38	0		15.496629


