Name:				15_Manual_n50_m200_bt10_5_2033
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		28.98
Calculation_Time:		1.64
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		8
No_of_Items:			42
Customer_Sequence:		12 23 6 14 15 4 8 13 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
8	27	8	0	0	0	0	99	60	60	2.19	0		0.001800
13	47	8	0	0	60	0	99	60	60	2.19	0		0.001800
6	18	8	0	0	0	60	99	60	60	2.19	0		0.001800
4	11	8	0	0	60	60	99	60	60	2.19	0		0.001800
23	92	8	0	0	0	120	99	60	60	2.19	0		0.001800
12	40	8	0	0	60	120	99	60	60	2.19	0		0.001800
12	41	8	0	99	0	0	99	60	60	2.19	0		0.001800
23	87	1	0	99	60	0	97	60	60	14.59	0		0.012500
15	55	1	0	99	0	60	97	60	60	14.59	0		0.012500
8	24	1	0	99	60	60	97	60	60	14.59	0		0.012500
6	17	1	0	99	0	120	97	60	60	14.59	0		0.012500
14	50	1	0	99	60	120	97	60	60	14.59	0		0.012500
23	88	1	0	196	60	0	97	60	60	14.59	0		0.012500
23	89	1	0	196	60	60	97	60	60	14.59	0		0.012500
15	56	4	1	0	120	0	53	60	43	4.71	0		0.007400
15	60	9	1	0	120	43	24	58	59	2.43	0		0.008700
12	42	9	1	0	144	43	24	58	59	2.43	0		0.008700
6	19	9	1	0	120	102	24	58	59	2.43	0		0.008700
4	12	9	1	0	144	102	24	58	59	2.43	0		0.008700
4	13	9	1	60	120	0	24	58	59	2.43	0		0.008700
13	45	5	0	118	120	0	42	34	31	3.13	0		0.011000
23	91	7	0	118	120	31	44	29	32	4.04	0		0.015800
14	54	7	0	118	120	63	44	29	32	4.04	0		0.015800
13	46	7	0	58	120	59	44	29	32	4.04	0		0.015800
8	26	7	0	118	120	95	44	29	32	4.04	0		0.015800
15	57	7	0	118	120	127	44	29	32	4.04	0		0.015800
15	58	7	0	162	120	0	44	29	32	4.04	0		0.015800
15	59	7	0	162	120	32	44	29	32	4.04	0		0.015800
13	49	10	0	58	120	91	47	20	30	4.37	0		0.023300
13	48	10	0	58	120	121	47	20	30	4.37	0		0.023300
15	61	10	0	60	154	0	47	20	30	4.37	0		0.023300
6	20	10	0	60	154	30	47	20	30	4.37	0		0.023300
4	9	2	1	118	120	159	22	53	23	3.69	0		0.015800
13	43	2	0	0	120	161	22	53	23	3.69	0		0.015800
4	10	2	1	160	149	0	22	53	23	3.69	0		0.015800
14	51	2	1	160	149	23	22	53	23	3.69	0		0.015800
23	90	2	1	160	149	46	22	53	23	3.69	0		0.015800
12	39	2	1	160	149	69	22	53	23	3.69	0		0.015800
14	53	6	0	160	149	92	22	22	21	3.49	0		0.036100
8	25	3	0	162	120	64	52	27	32	3.46	1		0.002500
13	44	3	0	162	120	96	52	27	32	3.46	1		0.002500
14	52	3	0	196	60	120	52	27	32	3.46	1		0.002500


